# Id ,ECD(um) ,C  ,O  ,Na ,Mg ,Al ,Si ,P  ,S  ,Cl ,K  ,Ca ,Mn ,Fe ,Sc ,Ti ,Co 
1517,1.500899456,85.77663375,14.08407375,0,0,0,0,0,0,0,0,0,0,0,0.139292507,0,0
1520,1.006205281,85.21737969,14.63063676,0,0,0,0,0,0,0,0,0,0,0,0.151983554,0,0
1522,1.169104889,84.50966476,15.35601102,0,0,0,0,0,0,0,0,0,0,0,0.134324215,0,0
1531,1.492443617,79.53522523,18.6079176,0,0.202059405,0.362091283,0.79546926,0,0.146247796,0,0.055480039,0,0.181290401,0,0.11421898,0,0
1532,1.124971704,84.69983067,15.16304409,0,0,0,0,0,0,0,0,0,0,0,0.137125241,0,0
1567,1.91575778,84.25383241,15.5927482,0,0,0,0,0,0,0,0,0,0,0,0.153419386,0,0
1579,1.067241867,84.6859266,15.13932872,0,0,0,0,0,0,0,0,0,0,0,0.174744682,0,0
1588,1.04325584,80.86451899,18.19263077,0.153882616,0,0.223430134,0.478108376,0,0,0,0.054786806,0,0.032642305,0,0,0,0
1617,1.582975503,84.64700466,15.23616202,0,0,0,0,0,0,0,0,0,0,0,0.116833322,0,0
1624,1.147250534,82.76928882,16.16161552,0,0,0.18333552,0.593416959,0,0,0,0.174331419,0,0.03760261,0,0.080409149,0,0
1657,1.222032068,84.40823046,15.45565566,0,0,0,0,0,0,0,0,0,0,0,0.136113879,0,0
1682,1.055317002,85.40677809,14.38749006,0,0,0,0,0,0,0,0,0,0,0,0.205731849,0,0
1693,1.090700534,84.37470969,15.09774113,0.138872641,0,0,0,0,0.092578384,0,0,0,0.182468982,0,0.113629168,0,0
1729,1.190558145,86.28088961,13.47002183,0,0,0,0.072430163,0,0,0,0,0,0,0,0.176658398,0,0
1740,1.067241867,99.77536208,0,0,0,0,0,0,0,0,0,0,0,0,0.224637918,0,0
1759,1.232344758,84.76848449,15.10695436,0,0,0,0,0,0,0,0,0,0,0,0.124561154,0,0
1898,1.928924655,85.45100356,14.30611314,0,0,0,0.073450137,0,0,0,0,0,0,0,0.169433164,0,0
1924,1.147250534,85.10191133,14.71939898,0,0,0,0,0,0,0,0,0,0,0,0.178689692,0,0
1937,1.405089208,85.08400683,14.78704957,0,0,0,0,0,0,0,0,0,0,0,0.1289436,0,0
1939,1.113665169,84.31846169,15.58176639,0,0,0,0,0,0,0,0,0,0,0,0.099771925,0,0
1943,1.534256851,81.21186029,17.3930882,0,0.289771819,0.258506872,0.599520158,0,0,0,0.048639607,0,0.137995696,0,0.060617366,0,0
1956,1.04325584,84.9039499,14.91973753,0.176312571,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,1.614638149,79.61216399,18.74404753,0,0.101517211,0.314149119,0.915844956,0,0,0,0,0.066169937,0.155822536,0,0.09028472,0,0
1983,1.606780982,77.6918685,20.14893847,0,0.14494504,0.641854574,1.007148156,0,0.052458354,0,0.21363488,0,0.099152027,0,0,0,0
1986,1.031053598,83.71970697,16.14073345,0,0,0,0,0,0,0,0,0,0,0,0.139559579,0,0
1999,3.035339606,73.40360462,23.01439155,0.133750357,0.126220308,1.15235514,1.55397562,0,0,0,0.249826415,0.099155248,0.200520263,0,0.066200473,0,0
